2025-08-29 23:29:30 INFO Saved 35 tweets to ../data/tweets.parquet
2025-08-30 11:07:46 WARNING No tweet cards found for #nifty50
2025-08-30 11:07:49 WARNING No tweet cards found for #nifty50
2025-08-30 11:07:52 WARNING No tweet cards found for #nifty50
2025-08-30 11:07:55 WARNING No tweet cards found for #nifty50
2025-08-30 11:07:58 WARNING No tweet cards found for #nifty50
2025-08-30 11:08:01 WARNING No tweet cards found for #nifty50
2025-08-30 11:12:52 WARNING No tweet cards found for #sensex
2025-08-30 11:12:55 WARNING No tweet cards found for #sensex
2025-08-30 11:12:58 WARNING No tweet cards found for #sensex
2025-08-30 11:13:01 WARNING No tweet cards found for #sensex
2025-08-30 11:13:04 WARNING No tweet cards found for #sensex
2025-08-30 11:13:07 WARNING No tweet cards found for #sensex
2025-08-30 11:13:10 WARNING No tweet cards found for #sensex
2025-08-30 11:13:13 WARNING No tweet cards found for #sensex
2025-08-30 11:13:16 WARNING No tweet cards found for #sensex
2025-08-30 11:13:19 WARNING No tweet cards found for #sensex
2025-08-30 11:13:29 WARNING No tweet cards found for #intraday
2025-08-30 11:13:32 WARNING No tweet cards found for #intraday
2025-08-30 11:13:35 WARNING No tweet cards found for #intraday
2025-08-30 11:13:38 WARNING No tweet cards found for #intraday
2025-08-30 11:13:41 WARNING No tweet cards found for #intraday
2025-08-30 11:13:44 WARNING No tweet cards found for #intraday
2025-08-30 11:13:47 WARNING No tweet cards found for #intraday
2025-08-30 11:13:50 WARNING No tweet cards found for #intraday
2025-08-30 11:13:53 WARNING No tweet cards found for #intraday
2025-08-30 11:13:56 WARNING No tweet cards found for #intraday
2025-08-30 11:14:06 WARNING No tweet cards found for #banknifty
2025-08-30 11:14:09 WARNING No tweet cards found for #banknifty
2025-08-30 11:14:12 WARNING No tweet cards found for #banknifty
2025-08-30 11:14:15 WARNING No tweet cards found for #banknifty
2025-08-30 11:14:18 WARNING No tweet cards found for #banknifty
2025-08-30 11:14:21 WARNING No tweet cards found for #banknifty
2025-08-30 11:14:24 WARNING No tweet cards found for #banknifty
2025-08-30 11:14:27 WARNING No tweet cards found for #banknifty
2025-08-30 11:14:30 WARNING No tweet cards found for #banknifty
2025-08-30 11:14:33 WARNING No tweet cards found for #banknifty
2025-08-30 11:14:39 INFO Saved 91 tweets to data/tweets.parquet
